,unacast_session_count
41907,302.0
12820,3013.0
22129,437.0
8614,1338.0
21762,592.0
45910,574.0
40640,1273.0
34541,433.0
31680,483.0
10042,855.0
22296,3834.0
15315,1014.0
21961,392.0
6268,791.0
30939,1500.0
27751,844.0
29236,1622.0
6155,3004.0
10280,1123.0
14061,391.0
18169,704.0
6302,379.0
23228,1340.0
36162,305.0
20954,445.0
6184,1065.0
17372,3199.0
45212,391.0
33282,574.0
588,820.0
27798,309.0
148,315.0
9717,394.0
13565,1899.0
29360,302.0
5256,306.0
28892,3020.0
47342,338.0
27148,301.0
5975,419.0
22830,442.0
15786,919.0
18630,2963.0
37164,699.0
11147,408.0
10420,880.0
48653,681.0
31012,388.0
11923,313.0
7272,750.0
48254,454.0
31093,621.0
30617,2406.0
21456,521.0
43922,2700.0
23267,308.0
41389,379.0
12927,334.0
8366,647.0
42918,412.0
36347,2026.0
25674,919.0
30242,3247.0
44935,327.0
18764,483.0
47889,368.0
41965,302.0
16114,329.0
28648,2632.0
18172,425.0
46703,407.0
17672,565.0
7547,388.0
47909,1091.0
35921,301.0
34074,2041.0
15353,459.0
37527,717.0
25117,317.0
22319,323.0
2748,2059.0
20265,375.0
44350,370.0
9295,1698.0
20939,719.0
39587,352.0
46286,352.0
37621,340.0
37509,1905.0
46909,556.0
22880,1736.0
38452,381.0
17485,331.0
31562,1369.0
40414,2260.0
17963,1331.0
45246,798.0
16064,1081.0
36727,482.0
47936,324.0
38002,1069.0
40847,2091.0
28501,1640.0
6694,446.0
26915,1067.0
3805,1581.0
10995,342.0
40185,639.0
35536,526.0
49835,757.0
23548,1408.0
17430,330.0
11793,357.0
39448,528.0
3280,1490.0
23795,2882.0
43983,309.0
7248,397.0
17254,327.0
20940,674.0
4746,644.0
8229,510.0
19503,449.0
29793,328.0
12790,354.0
35782,559.0
20452,459.0
4762,609.0
41663,422.0
42923,3025.0
21025,341.0
46806,751.0
30851,1555.0
16536,594.0
22726,582.0
36196,1356.0
40226,484.0
17634,437.0
23540,681.0
16624,1286.0
27018,455.0
34163,305.0
29973,923.0
48212,361.0
3839,484.0
30491,344.0
28004,2557.0
31202,348.0
37334,586.0
11199,859.0
42407,413.0
2015,389.0
45489,319.0
45889,658.0
14992,405.0
17984,588.0
243,309.0
11997,780.0
29969,1217.0
3980,517.0
8312,488.0
7719,333.0
8001,398.0
47438,669.0
10169,392.0
38172,3002.0
2947,1183.0
5501,508.0
16653,887.0
46851,738.0
46823,390.0
9697,450.0
2824,752.0
22861,394.0
42819,388.0
1273,636.0
22676,464.0
34425,324.0
2906,500.0
506,442.0
36385,330.0
19591,453.0
15206,493.0
9238,2914.0
32905,452.0
49244,516.0
28493,608.0
31886,321.0
792,706.0
24127,3013.0
40687,707.0
37622,315.0
4166,2843.0
35958,304.0
18427,363.0
15445,1037.0
43557,2440.0
31122,494.0
49358,2313.0
1953,396.0
587,1477.0
33328,348.0
22224,457.0
47335,3025.0
4724,355.0
4168,545.0
12453,336.0
36733,318.0
37483,610.0
23046,491.0
15067,1199.0
26245,488.0
33635,2997.0
28740,1057.0
35653,313.0
30467,308.0
39407,421.0
14532,304.0
1021,1031.0
5996,335.0
28753,407.0
46611,389.0
27442,590.0
35629,679.0
34070,529.0
39075,404.0
3823,3011.0
18217,522.0
26174,515.0
3045,787.0
4929,366.0
30027,589.0
20907,306.0
20192,3228.0
37162,782.0
